"מספר בספר החינוך","תת-מספר","שם","קבוצה","סוג (עשה/לא תעשה)","החייבים במצוה","תדירות","רצון","ארוע","עצם או אדם","זמן החיוב","מקום החיוב","העונש למפר במזיד","העונש למפר בשוגג","המקור ביד החזקה - הלכות","המקור ביד החזקה - מספר המצוה","הערות","טעמי המצוה"
33,0,"מצוות כיבוד אב ואם","כיבוד הורים כללי",1,"אדם מישראל","אדם",,,"הורים","בכל זמן","בכל מקום","אין","אין","ממרים","210",,"ראוי שאדם יכיר טובה למי שעשה עימו טובה ודרך כך יגיע להכרת טובתו של ה' יתברך שהוא טובת הכל"
34,0,"לא להרוג נקי","רצח",0,"אדם מבני נוח","אדם",,,"אדם מישראל","בכל זמן","בכל מקום","הרג בסיף","אין","רוצח ושמירת הנפש","289",,"ה' ברא עולם כדי לרבותו ולישבו ומנע מאיתנו להרוג בריות המישבות את העולם אלא רק רשעים שאינם מישבי עולם"
35,0,"לא לגלות ערוות אשת איש","ניאוף",0,"אדם מבני נוח","רצון","יחסי מין",,"איש ואשה","בכל זמן","בכל מקום","חנק","אין","איסורי ביאה","347",,"כדי שיתישב העולם כאשר חפץ ה' שע""י כך יתבטלו מצוות אחרות כמו כיבוד הורים לקיחת אחיות ,הרבה נשים וכו'"
36,0,"לא לגנוב נפש מישראל","גניבת נפש",0,"אדם מבני נוח","אדם",,,"אדם מישראל","בכל זמן","בכל מקום","חנק","אין","גניבה","243",,"הטעם ברור ומובן"
37,0,"לא להעיד עדות שקר","עדות אמת",0,"גבר מישראל","ארוע",,"דיון משפטי",,"בכל זמן","בכל מקום","מלקות","אין","עדות","285",,"השקר נמאס ונאלח עדות  שקר סיבה לחורבן הישוב"
38,0,"לא לחמוד","חמדה",0,"אדם מישראל","עצם","מחשבה",,"רכוש הזולת","בכל זמן","בכל מקום","אין","אין","גזילה ואבדה","265",,"מחשבה רעה הגורמת לעולם תקלות רבות"
39,0,"לא לעשות צורת אדם אפילו לנוי","עשיית פסל",0,"אדם מבני נוח","רצון","יצירה",,"פסלים","בכל זמן","בכל מקום","אין","אין","עבודת כוכבים","4",,"להרחיק עבודה זרה"
40,0,"לא לבנות אבני מזבח גזית","בניית המזבח",0,"ציבור","רצון","יצירה",,"מזבח","רק כשהמקדש קיים","בכל מקום","מלקות","אין","בית הבחירה","79",,"לזכור שמטרת המזבח היא מחילת העון והברכה והשלום ונצטווינו לא להעלות עליו כלי השחתה"
41,0,"לא לפסוע על המזבח","פסיעה על המזבח",0,"אדם מישראל","עצם","תנועה",,"מזבח","רק כשהמקדש קיים","בכל מקום","מלקות","אין","בית הבחירה","80",,"לקבוע בנפשינו יראת המקום וחשיבותו"
42,0,"מצוות דין עבד עברי","שחרור עבד עברי",1,"אדם מישראל","אדם",,,"עבד עברי","רק כשהיובל נוהג","רק בארץ ישראל","אין","אין","עבדים","232",,"ה' בחר בנו לעם בחירה ורצה שיהיה בנו מידות טובות ולכן הזהירנו לרחם על אשר תחת ידינו"
43,0,"מצוות יעוד של אמה עבריה - לאדוניה או לבנו","יעוד אמה עבריה",0,"גבר מישראל","אדם","בחירת בת זוג",,"אמה עבריה","רק כשהיובל נוהג","רק בארץ ישראל","אין","אין","עבדים","233",,"ריחם ה' על העניה הנמכרת וצוה הקונה לשאתה לאשה ולדאוג לה"
44,0,"מצוות פדיון אמה עבריה - אם אדוניה אינו מייעדה","פדיון אמה עבריה",1,"גבר מישראל","אדם",,,"אמה עבריה","בכל זמן","רק בארץ ישראל","אין","אין","עבדים","234",,"ריחם ה' על העניה הנמכרת וצוה על הקונה לפדותה"
45,0,"לא ימכור אמה עבריה לאדון אחר","מכירת אמה עבריה",0,"גבר מישראל","אדם","מכירה",,"אמה עבריה","בכל זמן","רק בארץ ישראל","אין","אין","עבדים","261",,"רחמי ה' על העניה"
46,0,"לא לגרוע שאר כסות ועונה","חובות הגבר לאשתו",0,"גבר מישראל","אדם","חיי נישואין",,"איש ואשה","בכל זמן","בכל מקום","אין","אין","אישות","261",,"רחמי ה' על העניה"
47,0,"מצוות בית דין להרוג בחנק המחוייב","עונשי מוות",1,"שופט","אדם",,,"חוטא","רק כשהמקדש קיים","רק בארץ ישראל","אין","אין","סנהדרין","227",,"מלך המשפט יעמיד ארץ, שאלולי יראת המשפט יהרגו בני אדם זה  את זה"
48,0,"לא להכות אב ואם","כיבוד הורים במעשה",0,"אדם מישראל","אדם",,,"הורים","בכל זמן","בכל מקום","חנק","חטאת קבועה","ממרים","85",,"ליסר הנבלים שהרימו יד במי שהביאם לעולם ועשה להם טובות וכן מלך המשפט משליט סדר בארץ"
49,0,"מצוות דיני קנסות - לענוש את החובל בחבירו כמו שכתוב בתורה","ענישת מזיקים",1,"שופט","אדם",,,"חוטא","רק כשהמקדש קיים","רק בארץ ישראל","אין","אין","חובל ומזיק","236",,"אם אין משפט לא יתיישבו בני אדם, אי אפשר לארץ ללא משפט"
50,0,"מצוות בית דין להרוג בסייף המחוייב","עונשי מוות",1,"שופט","אדם",,,"חוטא","רק כשהמקדש קיים","רק בארץ ישראל","אין","אין","סנהדרין","226",,"רצה האל לעקור רוע הלב ואכזריות מתוך עמ""י .ולכן צוה להרוג מי שיגבר עליו כעסו עד כדי רצח וכן משפטי ה' אמת צדקו יחדיו"
51,0,"מצוות בית דין לדון בנזקי בהמה","פגעי בהמה",1,"שופט","עצם",,"דיון משפטי","חיות","בכל זמן","בכל מקום","אין","אין","נזקי ממון","237",,"מצווה הבאה על דבר המשפט בארץ"
52,0,"לא לאכול שור הנסקל שנשחט","שור הנסקל",0,"אדם מישראל","רצון","אכילה",,"חיות","בכל זמן","רק בארץ ישראל","מלקות","אין","מאכלות אסורים","188",,"כל מי שבאה תקלה על ידו מרוחק ונמאס עם אלוקים ועם אנשים"
53,0,"מצוות בית דין לדון בנזקי הבור","נזקי בור",1,"שופט","עצם",,"דיון משפטי","רכוש הזולת","בכל זמן","בכל מקום","אין","אין","נזקי ממון","238","העונש על חפירת הבור היא תשלומים","הטעם ברור  הוא ,שאם אין משפט לא יתישבו בני אדם ולא יעמדו יחדיו לעולם ואי אפשר לארץ ללא משפט"
54,0,"מצוות בית דין לדון גנב בתשלומין או במיתה","דין גנב",1,"שופט","אדם",,,"חוטא","בכל זמן","רק בארץ ישראל","אין","אין","גניבה","239",,"הטעם ברור  הוא ,שאם אין משפט לא יתישבו בני אדם ולא יעמדו יחדיו לעולם ואי אפשר לארץ ללא משפט"
55,0,"מצוות בית דין לדון בנזקי הבער, שן ורגל","נזקי בהמה לרכוש",1,"שופט","עצם",,"דיון משפטי","חיות","בכל זמן","בכל מקום","אין","אין","נזקי ממון","240",,"הטעם ברור  הוא ,שאם אין משפט לא יתישבו בני אדם ולא יעמדו יחדיו לעולם ואי אפשר לארץ ללא משפט"
56,0,"מצוות בית דין לדון בנזקי אש","נזקי אש",1,"שופט","עצם",,"דיון משפטי","רכוש הזולת","בכל זמן","בכל מקום","אין","אין","נזקי ממון","241",,"הטעם ברור  הוא ,שאם אין משפט לא יתישבו בני אדם ולא יעמדו יחדיו לעולם ואי אפשר לארץ ללא משפט"
57,0,"מצוות בית דין לדון בדין שומר חינם","שמירת חינם",1,"שופט","רצון","עסקים כשרים","דיון משפטי","רכוש הזולת","בכל זמן","בכל מקום","אין","אין","שאלה ופקדון","242",,"הטעם ברור  הוא ,שאם אין משפט לא יתישבו בני אדם ולא יעמדו יחדיו לעולם ואי אפשר לארץ ללא משפט"
58,0,"מצוות בית דין לדון בדין טוען ונטען","טענות כספיות",1,"שופט","אדם",,"דיון משפטי","חוטא","בכל זמן","בכל מקום","אין","אין","טוען ונטען","246",,"הטעם ברור  הוא ,שאם אין משפט לא יתישבו בני אדם ולא יעמדו יחדיו לעולם ואי אפשר לארץ ללא משפט"
59,0,"מצוות בית דין לדון בדין נושא שכר והשוכר","דין שכירות",1,"שופט","רצון","שכירות","דיון משפטי","רכוש הזולת","בכל זמן","בכל מקום","אין","אין","שכירות","243",,"הטעם ברור  הוא ,שאם אין משפט לא יתישבו בני אדם ולא יעמדו יחדיו לעולם ואי אפשר לארץ ללא משפט"
60,0,"מצוות בית דין לדון בדין השואל","השאלה",1,"שופט","רצון","עסקים כשרים","דיון משפטי","רכוש הזולת","בכל זמן","בכל מקום","אין","אין","שאלה ופקדון","244",,"דין שואל כדין מלוה ולכן מחייבים אותו על נזק כי לא שילם על ההשאלה כלום"
61,1,"מצוות בית דין לדון בדין מפתה","דין מפתה",1,"שופט","אדם",,,"חוטא","בכל זמן","בכל מקום","אין","אין","נערה בתולה","220",,"הטעם ברור  הוא ,שאם אין משפט לא יתישבו בני אדם ולא יעמדו יחדיו לעולם ואי אפשר לארץ ללא משפט"
61,2,"שישא המפתה את המפותה","פיתוי",1,"גבר מישראל","ארוע",,"חטא","בתולה","בכל זמן","בכל מקום","אין","אין","נערה בתולה","220",,"הטעם ברור  הוא ,שאם אין משפט לא יתישבו בני אדם ולא יעמדו יחדיו לעולם ואי אפשר לארץ ללא משפט"
62,0,"לא להחיות מכשפה","עונש מוות למכשפה",0,"שופט","אדם",,,"חוטא","בכל זמן","רק בארץ ישראל","סקילה","חטאת קבועה","סנהדרין","310",,"ענין הכישוף דבר רע וגורם תקלות לבני אדם והוא בא נגד חפץ ה', שחפץ בישוב העולם בדרך הטבע והמכשף בא לשנות את הכל."
63,0,"לא להונות (לצער) את הגר בדברים","ציעור גר",0,"אדם מישראל","אדם","הונאת דברים",,"גר","בכל זמן","בכל מקום","אין","אין","מכירה","252",,"לישוב העולם וכן כדי לכוף את יצרנו לבל נעשה רע כדי לשמור על נפשנו"
64,0,"לא להונות הגר בממון","הטעיית גר",0,"אדם מישראל","רצון","עסקים כשרים",,"גר","בכל זמן","בכל מקום","אין","אין","מכירה","253",,"לישוב העולם וכן כדי לכוף את יצרנו לבל נעשה רע ונתקן את נפשנו"
65,1,"לא לענות יתום","עינוי יתום",0,"אדם מישראל","אדם",,,"יתום","בכל זמן","בכל מקום","אין","אין","דעות","256",,"לחנך את עצמנו לא לנצל  תשישותם של חלשים שאין מי שיטעון טענותיהם התורה הזהירנו לקנות מדת החסד ונחמול עליהם"
65,2,"לא לענות אלמנה","עינוי אלמנה",0,"אדם מישראל","אדם",,,"אלמנה","בכל זמן","בכל מקום","אין","אין","דעות","256",,"לחנך את עצמנו לא לנצל  תשישותם של חלשים שאין מי שיטעון טענותיהם התורה הזהירנו לקנות מדת החסד ונחמול עליהם"
66,0,"מצוות הלוואה לעני","הלואה לעניים",1,"אדם מישראל","אדם",,,"עני","בכל זמן","בכל מקום","אין","אין","מלוה ולוה","197",,"רצה האל להרגיל אותנו למידת החסד ורצה לזכותינו במצוה להטיב לעני"
67,0,"לא נתבע חוב מעני בעת שנודע שאינו יכול לפרוע","הלואה לעניים",0,"אדם מישראל","אדם","הלוואות",,"עני","בכל זמן","בכל מקום","אין","אין","מלוה ולוה","185",,"לקנות בנו מידת החסד והחמלה"
68,0,"לא ניתן יד בין לווה למלווה בריבית","הלואה בלי ריבית",0,"אדם מישראל","רצון","הלוואות",,"רכוש הזולת","בכל זמן","בכל מקום","אין","אין","מלוה ולוה","237",,"ה' חפץ בישוב עמו לכן צוה להסיר מכשול לבל יבלע אחד ממון חברו"
69,0,"לא לקלל את הדיין","קללת שופט",0,"אדם מישראל","אדם","קללה",,"שופט","בכל זמן","בכל מקום","מלקות","אין","סנהדרין","316",,"להסיר מהדיינים יראת הנידון. למנוע מהעם לקלל את הדין שהוא מעמיד במשפט ארץ"
70,0,"לאו דברכת ה' (לא לבזות את שם ה' בדיבור)","ברכת שם ה'",0,"אדם מבני נוח","רצון","קללה",,,"בכל זמן","בכל מקום","סקילה","חטאת קבועה","עבודת כוכבים","60",,"האדם מרוקן את כל הטובה מה' במאמר אחד ונחשב כבהמה.והאל הטוב חפץ בטובתנו"
71,0,"לא לקלל הנשיא","קללת נשיא",0,"אדם מישראל","אדם","קללה",,"נשיא","רק כשהמקדש קיים","רק בארץ ישראל","מלקות","אין","סנהדרין","316",,"אי אפשר לישוב בני האדם מבלי שיעשו אחד מבינהם ראש על האחרים.ומפני שדעותיהן שונות יש לקבל עליהם גזרותיו ראוי שלא נקל בכבודו וגם שלא נקללו"
72,0,"לא להקדים חוקי התבואות","סדר הפרשת תרומות ומעשרות",0,"אדם מישראל","עצם","אכילה","שנה","אדמה חקלאית","רק כשהיובל נוהג","רק בארץ ישראל","אין","אין","תרומות","154",,"כשעושין דברים על סדרם לא יגיע לערבוב וטעות"
73,0,"לא לאכול טריפה","אכילת בשר",0,"אדם מישראל","רצון","אכילה",,"חיות","בכל זמן","בכל מקום","מלקות","אין","מאכלות אסורים","191",,"אכילת נבלות וטרפות גורמת להפסד (נזק) לגוף"
74,0,"לא לשמוע טענת בעל דין שלא בפני בעל דינו","דין צדק",0,"שופט","ארוע",,"דיון משפטי",,"בכל זמן","בכל מקום","אין","אין","סנהדרין","291",,"התורה ציותה אותנו להתרחק ולשנוא את השקר ומצוה זו יכולה להיות מאוד קרובה לשקר ויש להזהר מכך"
75,0,"לא יעיד בעל עבירה","עד רשע",0,"שופט","אדם",,"דיון משפטי","חוטא קבוע","בכל זמן","בכל מקום","אין","אין","עדות","296",,"מי שלא חס על עצמו ולא חושש למעשיו הרעים אין לסמוך עליו שיחוש על האחרים"
76,0,"לא לנטות אחרי רבים בדיני נפשות כשתהיה התוספת איש אחד בלבד לרעות","זהירות בדיני נפשות",0,"שופט","ארוע",,"דין נפשות",,"בכל זמן","בכל מקום","אין","אין","סנהדרין","292",,"נצטוונו להדמות לה' שהוא רב חסד ועושה לפנים משורת הדין וגם אנחנו הצטוינו בכך שיהיה נהוג לזכות בדיני נפשות יותר על החיוב"
77,0,"לא ילמד חובה מי שלמד זכות תחילה בדיני נפשות","זהירות בדיני נפשות",0,"שופט","ארוע",,"דין נפשות",,"רק כשהיובל נוהג","רק בארץ ישראל","אין","אין","סנהדרין","293",,"שלא ילך אחד הדיינים אחר חבריו אלא יבין הדברים מעצמו מפני שאפשר שמתוך כך י בא הדין כולו על דעת אחד מהם"
78,0,"מצוות הטייה אחרי רבים","הטיה אחרי רבים",1,"שופט","ארוע",,"דיון משפטי",,"בכל זמן","בכל מקום","אין","אין","סנהדרין","175",,"לחזק קיום דתינו,שע""י קבלת דעת רוב החכמים ישנה אמת אחת ועליה אנו מצווים"
79,0,"לא לרחם על עני בדין","דין עני",0,"שופט","אדם",,"דיון משפטי","עני","בכל זמן","בכל מקום","אין","אין","סנהדרין","277",,"כמצווה להשוות את הדין בכל אדם בלי קשר למצבו האישי"
80,0,"מצוות עזרה בפריקת משא","עזרה לזולת בעבודה",1,"גבר מישראל","ארוע",,"נפילה","החוליות החלשות","בכל זמן","בכל מקום","אין","אין","רוצח ושמירת הנפש","202",,"ללמד נפשנו מידת החמלה אפילו על איש המצטער באבידת ממונו עלינו לעזור לו ולהצילו"
81,0,"לא להטות משפט רשע","דין רשע",0,"שופט","אדם",,"דיון משפטי","חוטא קבוע","בכל זמן","בכל מקום","אין","אין","סנהדרין","278",,"מצווה להשוות הדין בכל אדם בלי קשר למצבו האישי"
82,0,"לא לחתוך הדין באומד הדעת כי אם בעדים","דין צדק בעדים",0,"שופט","ארוע",,"דיון משפטי",,"רק כשהיובל נוהג","רק בארץ ישראל","אין","אין","סנהדרין","290",,"לא לפסוק דין בלי ראיות מספיקות והטעם ברור"
83,0,"לא לקחת שוחד","שוחד",0,"שופט","ארוע",,"דיון משפטי","רכוש הזולת","בכל זמן","בכל מקום","אין","אין","סנהדרין","274",,"אסור לקחת שוחד אפילו דין אמת כדי שלא נתרגל ונדון בשוחד גם דיני שקר"
84,0,"מצוות שמיטת קרקעות - להפקיר כל מה שתוציא הארץ בשנה השביעית","שמיטת היבול בשביעית",1,"אדם מישראל","זמן","קצירה","7 שנים","אדמה חקלאית","רק כשהיובל נוהג","בארץ ישראל סוריא ועבר הירדן","אין","אין","שמיטה ויובל","134",,"כדי לקבוע בליבנו שה' ברא עולם בשישה ימים ונח בשביעי . וכן לקנות מידת הוותרנות של נתינה בלי תמורה וכן מידת הביטחון של הפקרת השדה    לשנה שלמה"
85,0,"מצוות שביתת השבת","שביתה בשבת",1,"אדם מישראל","זמן","מלאכה","שבת",,"בכל זמן","בכל מקום","אין","אין","שבת","81","למרות שזאת מצוות עשה  שהזמן גרמא נשים חייבות בה","מידת האמונה בה' שברא עולם בשישה ימים"
86,0,"לא להישבע בעבודת אלילים","שבועה באלילים",0,"אדם מבני נוח","רצון","שבועה",,"אלילים","בכל זמן","בכל מקום","מלקות","אין","עבודת כוכבים","14",,"להרחיק כל עבודה זרה בין במעשה בין במחשבה"
87,0,"לא להדיח בני ישראל לעבוד עבודה זרה","הסתה",0,"אדם מבני נוח","רצון","דיבור",,"אלילים","בכל זמן","רק בארץ ישראל","סקילה","חטאת קבועה","עבודת כוכבים","15","עונש סקילה הוא רק בארץ ישראל החוטא בחו""ל אינו נענש","להרחיק עבודה זרה"
88,0,"מצוות חגיגה ברגלים","חגיגת חג",1,"גבר מישראל","זמן",,"3 רגלים",,"רק כשהמקדש קיים","בירושלים","אין","אין","חגיגה","52",,"אין ראוי לבא לפני ה' בידיים רקות (למרות שאינו זקוק לכך)לכן ראוי להביא קרבןוע""י כך תתעלה נפשינו"
89,0,"לא נשחט שה הפסח בארבעה עשר בניסן בעוד שיהיה חמץ ברשותנו עד שנוציאו","קרבן פסח על חמץ",0,"אדם מישראל","זמן","הקרבה","חג פסח","לחם","רק כשהמקדש קיים","בירושלים","מלקות","אין","קרבן פסח","115","קרבן הפסח כשר לאכילה","לפי שקיום הזמן בכל הענינים הוא קיום עשיתן על כן נזהרנו להשבית חמץ ואח""כ להתחיל בקרבן הפסח"
90,0,"לא להניח אמורי הפסח להיפסל בלינה","הקרבת קרבן הפסח",0,"כהן","זמן",,"חג פסח",,"רק כשהמקדש קיים","בירושלים","אין","אין","קרבן פסח","116",,"כבוד הקרבן להקריבו בזמנו והמעביר המועד נראה כמתיאש  ואיננו מתעורר ומתפיס כוונותיו אל העבודה היפה"
91,0,"מצוות הבאת ביכורים למקדש","הבאת ביכורים",1,"גבר מישראל","עצם",,"שנה","אדמה חקלאית","רק כשהמקדש קיים","בארץ ישראל סוריא ועבר הירדן","אין","אין","ביכורים","125","המצווה קימת גם בסוריא ועבר הירדן","להעלות דבר ה' על ראש שמחתינו ולזכור שמאיתו יגיעו לנו כל הברכות על כן נצטוינו להביא למשרתי ביתו ראשית הפרי הבשל"
