 תולדות יעקב בן יצחק (יוסף, יהודה ואחיהם)	בראשית לז1	פרשה_בתנך	prqim/t0137.htm#1
אבידע	גבר	דמות_מהתנך	tnk1/dmut/dmut/139.html
אביה	גבר	דמות_מהתנך	tnk1/dmut/dmut/632.html
אביה	גבר	דמות_מהתנך	tnk1/dmut/dmut/959.html
אביה	כמה	דמויות_מהתנך	tnk1/dmut/jm/abyh.html
אביה בן ירבעם	גבר	דמות_מהתנך	tnk1/dmut/dmut/959.html
אביה בן שמואל	גבר	דמות_מהתנך	tnk1/dmut/dmut/632.html
אביה של תחפניס	גבר	דמות_מהתנך	tnk1/dmut/dmut/1365.html
אביהוא	גבר	דמות_מהתנך	tnk1/dmut/dmut/273.html
אביהיל	אשה	דמות_מהתנך	tnk1/dmut/dmut/873.html
אביהיל	אשה	דמות_מהתנך	tnk1/dmut/dmut/963.html
אביהיל	כמה	דמויות_מהתנך	tnk1/dmut/jm/abyhyl.html
אביהיל אם אחבן	אשה	דמות_מהתנך	tnk1/dmut/dmut/873.html
אביהיל בת אליאב	אשה	דמות_מהתנך	tnk1/dmut/dmut/963.html
אביהם של ממרא אשכל וענר	גבר	דמות_מהתנך	tnk1/dmut/dmut/334.html
אביון	בעל תכונה [= אדם שחסרים לו דברים שהוא רוצה (אובה); או עני, שהוא תאב לכל דבר בעבור חסרונו]	לשון_המקרא	tnk1/ljon/jorj/abh1.html
אביונה	גוף [= הכוח שבאדם שבו תואב וחומד]	לשון_המקרא	tnk1/ljon/jorj/abh1.html
אביחיל	גבר	דמות_מהתנך	tnk1/dmut/dmut/1324.html
אביחיל	גבר	דמות_מהתנך	tnk1/dmut/dmut/496.html
אביחיל	כמה	דמויות_מהתנך	tnk1/dmut/jm/abyxyl.html
אביחיל אבי צוריאל	גבר	דמות_מהתנך	tnk1/dmut/dmut/496.html
אביחיל בן שמעי	גבר	דמות_מהתנך	tnk1/dmut/dmut/1324.html
אביטל	אשה	דמות_מהתנך	tnk1/dmut/dmut/705.html
אבים	גבר	דמות_מהתנך	tnk1/dmut/dmut/962.html
אִבִּים	שם מתואר [= ע' שורש אצל]	לשון_המקרא	tnk1/ljon/jorj/abb.html
אבימאל	גבר	דמות_מהתנך	tnk1/dmut/dmut/83.html
אבימלך	גבר	דמות_מהתנך	tnk1/dmut/dmut/379.html
אבימלך	גבר	דמות_מהתנך	tnk1/dmut/dmut/582.html
אבימלך	כמה	דמויות_מהתנך	tnk1/dmut/jm/abymlk.html
אבימלך מלך גרר	גבר	דמות_מהתנך	tnk1/dmut/dmut/379.html
אבימלך מלך שכם	גבר	דמות_מהתנך	tnk1/dmut/dmut/582.html
אבינדב	גבר	דמות_מהתנך	tnk1/dmut/dmut/651.html
אבינדב	גבר	דמות_מהתנך	tnk1/dmut/dmut/673.html
אבינדב	גבר	דמות_מהתנך	tnk1/dmut/dmut/687.html
אבינדב	כמה	דמויות_מהתנך	tnk1/dmut/jm/abyndb.html
אבינדב אבי אלעזר	גבר	דמות_מהתנך	tnk1/dmut/dmut/673.html
אבינדב בן ישי	גבר	דמות_מהתנך	tnk1/dmut/dmut/687.html
אבינדב בן שאול	גבר	דמות_מהתנך	tnk1/dmut/dmut/651.html
אבינעם	גבר	דמות_מהתנך	tnk1/dmut/dmut/567.html
אביעזר	גבר	דמות_מהתנך	tnk1/dmut/dmut/834.html
אביעזר הענתתי	גבר	דמות_מהתנך	tnk1/dmut/dmut/834.html
אֲבִיר	שם1 [= תואר לה', סמוך ל"יעקב" ו"ישראל"]	לשון_המקרא	tnk1/ljon/jorj/abr1.html
אֲביר יעקב	ביטוי: שם1	לשון_המקרא	tnk1/ljon/jorj/abr1.html#bituy
אֲביר ישראל	ביטוי: שם1	לשון_המקרא	tnk1/ljon/jorj/abr1.html#bituy
אבירם	גבר	דמות_מהתנך	tnk1/dmut/dmut/1036.html
אבירם	גבר	דמות_מהתנך	tnk1/dmut/dmut/288.html
אבירם	כמה	דמויות_מהתנך	tnk1/dmut/jm/abyrm.html
אבירם בן אליאב	גבר	דמות_מהתנך	tnk1/dmut/dmut/288.html
אבירם בן חיאל	גבר	דמות_מהתנך	tnk1/dmut/dmut/1036.html
אבישג	אשה	דמות_מהתנך	tnk1/dmut/dmut/903.html
אבישג השונמית	אשה	דמות_מהתנך	tnk1/dmut/dmut/903.html
אבישוע	גבר	דמות_מהתנך	tnk1/dmut/dmut/757.html
אבישור	גבר	דמות_מהתנך	tnk1/dmut/dmut/872.html
אבישי	גבר	דמות_מהתנך	tnk1/dmut/dmut/725.html
אבישלום	גבר	דמות_מהתנך	tnk1/dmut/dmut/970.html
אביתר	גבר	דמות_מהתנך	tnk1/dmut/dmut/642.html
אבכ	שורש [= ענינו התאכל]	לשון_המקרא	tnk1/ljon/jorj/abk.html
אבל	שורש [עם כמה משמעויות שונות]	לשון_המקרא	tnk1/ljon/jorj/abl.html
אֵבֶל	רגש	לשון_המקרא	tnk1/ljon/jorj/abl1.html
אבל על החורבן	ימי תענית שנקבעו לאחר תקופת התורה, כדי לתקן את חטאינו שגרמו לחורבן	אוסף מאמרים	tryg/mamr/evl.html
אבל על מת	אבל על מות אדם	מצוות_ארוע	tryg/sug/erua_ablwt.html
אבל על קרובים	המצוה להתאבל על קרובי משפחה	מצוות_ארוע	tryg/sug/abl_el_qrwbym.html
אבנ	שורש [עם כמה משמעויות שונות]	לשון_המקרא	tnk1/ljon/jorj/abn.html
אבֶן	אבן	לשון_המקרא	tnk1/ljon/jorj/abn1.html
אבן האזל	ביטוי: מקום פרטי	לשון_המקרא	tnk1/ljon/jorj/abn1.html#bituy
אבן ואבן	ביטוי: אבן	לשון_המקרא	tnk1/ljon/jorj/abn.html#bituy
אבן חן	ביטוי: אבן	לשון_המקרא	tnk1/ljon/jorj/abn1.html#bituy
אבן יקרה	ביטוי: אבן	לשון_המקרא	tnk1/ljon/jorj/abn1.html#bituy
אבן מעמסה	ביטוי: אבן	לשון_המקרא	tnk1/ljon/jorj/abn.html#bituy
אבן נגף	ביטוי: אבן	לשון_המקרא	tnk1/ljon/jorj/abn1.html#bituy
אבן שלמה	ביטוי: אבן	לשון_המקרא	tnk1/ljon/jorj/abn.html#bituy
אבנֵט	בגד [= אזור וחגורה]	לשון_המקרא	tnk1/ljon/jorj/abnf.html
אבני מרמה	ביטוי: אבן	לשון_המקרא	tnk1/ljon/jorj/abn.html#bituy
אָבנַיִם	גוף	לשון_המקרא	tnk1/ljon/jorj/abn2.html
אבנים	אבן	לשון_המקרא	tnk1/ljon/sug/EcmEvn.html
אבנר	גבר	דמות_מהתנך	tnk1/dmut/dmut/666.html
אבס	שורש [= ענינו פיטום ודישון]	לשון_המקרא	tnk1/ljon/jorj/abs.html
אבעבועות	מחלה [= מין שחין שמשחית הגוף]	לשון_המקרא	tnk1/ljon/jorj/beh.html
אבצן	גבר	דמות_מהתנך	tnk1/dmut/dmut/594.html
אבָק	חומר [= עפר הדק המתנשא מעל הארץ]	לשון_המקרא	tnk1/ljon/jorj/abq.html
אבקה	חומר	לשון_המקרא	tnk1/ljon/jorj/abq.html
אבקת רוכל	ביטוי: חומר [= בשמים ששוחקים אותם הדק כאבק]	לשון_המקרא	tnk1/ljon/jorj/abq.html#bituy
אבר	שורש [עם כמה משמעויות שונות]	לשון_המקרא	tnk1/ljon/jorj/abr.html
אבֶר	גוף [= חלק בגוף הציפור; כנראה כנף]	לשון_המקרא	tnk1/ljon/jorj/abr2.html
אבר מן החי	איסור אכילת אבר שנתלש מבהמה בעודה בחיים	מצוות_רצון	tryg/sug/akylt_abr_mn_hxy.html
אברבנאל	פירושי אברבנאל	אוסף מאמרים	tnk1/klli/limud/avrbnel.html
אברה	גוף	לשון_המקרא	tnk1/ljon/jorj/abr2.html
אברהם	גבר	דמות_מהתנך	tnk1/dmut/dmut/98.html
אברהם אבינו	גבר	דמות_מהתנך	tnk1/dmut/dmut/98.html
אברך!	מילת קריאה [= כרוז (?)]	לשון_המקרא	tnk1/ljon/jorj/brk2.html
אבשלום	גבר	דמות_מהתנך	tnk1/dmut/dmut/702.html
אגא	גבר	דמות_מהתנך	tnk1/dmut/dmut/819.html
אגג	גבר	דמות_מהתנך	tnk1/dmut/dmut/678.html
אגד	שורש	לשון_המקרא	tnk1/ljon/jorj/agd.html
אגודה	שם מתואר [= דברים מחוברים וקשורים יחד]	לשון_המקרא	tnk1/ljon/jorj/agd.html
אגוז	פרי [= מין עץ פרי]	לשון_המקרא	tnk1/ljon/jorj/agz.html
אגור	גבר	דמות_מהתנך	tnk1/dmut/dmut/1442.html
אגורה	מטבע [=  אגירת ואסיפת כסף וכיכר לחם [שם מופשט כעין מקור]. ויונתן תרגם שם מטבע, כמו "גרה"]	לשון_המקרא	tnk1/ljon/jorj/agr.html
אגז	שורש	לשון_המקרא	tnk1/ljon/jorj/agz.html
אגֶל	חומר	לשון_המקרא	tnk1/ljon/jorj/agl.html
אגלי טל	ביטוי: חומר	לשון_המקרא	tnk1/ljon/jorj/agl.html#bituy
אגמ	שורש [עם כמה משמעויות שונות]	לשון_המקרא	tnk1/ljon/jorj/agm.html
אגָם	עצם בארץ	לשון_המקרא	tnk1/ljon/jorj/agm1.html
אגמון	עשב	לשון_המקרא	tnk1/ljon/jorj/agm2.html
אגמי נפש	ביטוי: עצם בארץ	לשון_המקרא	tnk1/ljon/jorj/agm1.html#bituy
אגָן	כלי קיבול [= מזרק]	לשון_המקרא	tnk1/ljon/jorj/agn.html
אגף	שורש [= שם-רבים "אגפים", והוא חיילות המתפשטים סביב, וכתרגום יונתן "משרייתא"]	לשון_המקרא	tnk1/ljon/jorj/agp.html
אגר	שורש [= ענינו קיבוץ ואסיפה, ועמו "לאגורת כסף"]	לשון_המקרא	tnk1/ljon/jorj/agr.html
אגרוף	גוף [= על דעת חז"ל הוא היד, שיקבצו האצבעות לתוך הכף, ותרגומו "כורמיזא"]	לשון_המקרא	tnk1/ljon/jorj/agrp.html
אגרטָל	כלי קיבול	לשון_המקרא	tnk1/ljon/jorj/agrfl.html
אגרפ	שורש	לשון_המקרא	tnk1/ljon/jorj/agrp.html
אגרת	כלי כתיבה [= מכתב, שאוגר בתוכו מילים]	לשון_המקרא	tnk1/ljon/jorj/agr.html
אֵד	עצם ברקיע [= בלשון ימינו טיפות זעירות של נוזל; בלשון המקרא ענן או מעיין]	לשון_המקרא	tnk1/ljon/jorj/ayd1.html
אדב	שורש [= ענינו כמו דאב]	לשון_המקרא	tnk1/ljon/jorj/adb.html
אדב=דאב	עלשורש_סדר [= שורשים עם אותה משמעות וסדר-אותיות שונה]	לשון_המקרא	tnk1/ljon/jorj/adb=dab.html
אדבאל	גבר	דמות_מהתנך	tnk1/dmut/dmut/143.html
אדום	צבע	לשון_המקרא	tnk1/ljon/jorj/adm1.html
אדומים	עם	דמות_מהתנך	tnk1/dmut/dmut/382.html
אדון	בעל תפקיד [= שר ומושל, ובא גם לשם ה' אדון כל הארץ]	לשון_המקרא	tnk1/ljon/jorj/adn1.html
אדיר	תואר	לשון_המקרא	tnk1/ljon/jorj/adr1.html
אדליא	גבר	דמות_מהתנך	tnk1/dmut/dmut/1428.html
אדם	גבר	דמות_מהתנך	tnk1/dmut/dmut/1.html
אדמ	שורש [עם כמה משמעויות שונות]	לשון_המקרא	tnk1/ljon/jorj/adm.html
אָדָם	בעל תכונה [= מין אנושי, כולל זכר ונקבה יחיד ורבים, על-שם שנוצר מן האדמה]	לשון_המקרא	tnk1/ljon/jorj/adm2.html
אדם אבינו	גבר	דמות_מהתנך	tnk1/dmut/dmut/1.html
אדם מישראל	היחס לכל אדם מישראל	מצוות_אדם	tryg/sug/ecm_adm_xbr.html
אדם מת	אדם מת	מצוות_עצם	tryg/sug/ecm_adm_mt.html
אדם שלא נימול	ערל = אדם שלא נימול	מצוות_אדם	tryg/sug/ecm_adm_erl.html
אדמדם	צבע [= אדום חזק, או אדום חלש]	לשון_המקרא	tnk1/ljon/jorj/adm1.html
אדמָה	עצם בארץ	לשון_המקרא	tnk1/ljon/jorj/adm2.html
אדמה חקלאית	אדמה חקלאית - שדה, מטע, כרם	מצוות_עצם	tryg/sug/ecm_xqlawt.html
אדמה חקלאית - אכילה	אכילת יבול השדה, המטע או הכרם	מצוות_רצון	tryg/sug/rcon-ecm_akilh-tbwah.html
אדמה חקלאית - זריעה	זריעת זרעים ונטיעת עצים	מצוות_רצון	tryg/sug/rcon-ecm_zryeh-xqlawt.html
אדמה חקלאית - קצירה	קציר בשדה ובציר בכרם	מצוות_רצון	tryg/sug/rcon-ecm_qcyrh-xqlawt.html
אדמוני	צבע	לשון_המקרא	tnk1/ljon/jorj/adm1.html
אדמתא	גבר	דמות_מהתנך	tnk1/dmut/dmut/1415.html
אדנ	שורש [עם כמה משמעויות שונות]	לשון_המקרא	tnk1/ljon/jorj/adn.html
אֵדן	חומר בנין	לשון_המקרא	tnk1/ljon/jorj/adn2.html
אדני	שם1 [= שם ה' הנקרא, והוא נפרד, על-משקל "חלונַי", "חורַי", "חוזַי" ודומיהם, ובא בקמץ להפרידו משל חול מ"ב, והבאים גם בכתיב כן אינון 134 במספר, ומנהון 3 "ואדני", 7 "לאדני", מלבד הסמוכים אל שם הויה הנקרא אלקים והנם מובאים בשורש אלהּ]	לשון_המקרא	tnk1/ljon/jorj/adn1.html
אדני בזק	גבר	דמות_מהתנך	tnk1/dmut/dmut/546.html
אדני צדק	גבר	דמות_מהתנך	tnk1/dmut/dmut/531.html
אדני צדק מלך ירושלם	גבר	דמות_מהתנך	tnk1/dmut/dmut/531.html
אדניה	גבר	דמות_מהתנך	tnk1/dmut/dmut/704.html
אדר	שורש [עם כמה משמעויות שונות]	לשון_המקרא	tnk1/ljon/jorj/adr.html
אדֶר	בגד	לשון_המקרא	tnk1/ljon/jorj/adr1.html
אדרכֹן	מטבע	לשון_המקרא	tnk1/ljon/jorj/adrkn.html
אדרם	גבר	דמות_מהתנך	tnk1/dmut/dmut/802.html
אדרמלך	גבר	דמות_מהתנך	tnk1/dmut/dmut/1101.html
אדרת	בגד [= תואר נקבה, על הרוב בא בלא מתואר "שמלה", למלבוש יקר שלובשים הגדולים והחשובים]	לשון_המקרא	tnk1/ljon/jorj/adr1.html
אהב	שורש [= א. רצה לקבל ולהתקרב; ב. רצה לתת ולהיטיב]	לשון_המקרא	tnk1/ljon/jorj/ahb.html
אהבה	רגש [= א. רצון לקבל ולהתקרב; ב. רצון לתת ולהיטיב]	לשון_המקרא	tnk1/ljon/jorj/ahb.html
אהבה בין איש לאישה	אהבה בין איש לאישה	אוסף מאמרים	tnk1/msr/2ahva.html
אהבים	רגש [= בלשון רבים ולא ייפרד, כמו "נעורים"]	לשון_המקרא	tnk1/ljon/jorj/ahb.html
אהבת גר	אהבת המתגייר	מצוות_אדם	tryg/sug/ahbt_gr.html
אהבת ה'	אהבת ה'	מצוות_רגע	tryg/sug/ahbt_h_.html
אהבת הבריות	אהבת כל אדם מישראל	מצוות_אדם	tryg/sug/ahbt_azrx.html
אהד	גבר	דמות_מהתנך	tnk1/dmut/dmut/208.html
אההּ	שורש [= מילות הקריאה "אההּ" ו"ההּ", ליגון ואנחה]	לשון_המקרא	tnk1/ljon/jorj/ahh.html
אהוד	גבר	דמות_מהתנך	tnk1/dmut/dmut/560.html
אֱהִי	מילה	לשון_המקרא	tnk1/ljon/jorj/hyh.html
אהיה	שם1	לשון_המקרא	tnk1/ljon/jorj/hyh.html
אהל	שורש [עם כמה משמעויות שונות]	לשון_המקרא	tnk1/ljon/jorj/ahl.html
אהַל	פעל [= ענינו נטיית אוהל לעצמו לשכון בו]	לשון_המקרא	tnk1/ljon/jorj/ahl1.html
אהל מועד	ביטוי: מבנה	לשון_המקרא	tnk1/ljon/jorj/ahl1.html#bituy
אהלות	בושם	לשון_המקרא	tnk1/ljon/jorj/ahl2.html
אהליאב	גבר	דמות_מהתנך	tnk1/dmut/dmut/490.html
אהליבמה	אשה	דמות_מהתנך	tnk1/dmut/dmut/177.html
אהליבמה	גבר	דמות_מהתנך	tnk1/dmut/dmut/473.html
אהליבמה	כמה	דמויות_מהתנך	tnk1/dmut/jm/ahlybmh.html
אהליבמה בת ענה	אשה	דמות_מהתנך	tnk1/dmut/dmut/177.html
אהליבמה האלוף	גבר	דמות_מהתנך	tnk1/dmut/dmut/473.html
אהלים	בושם	לשון_המקרא	tnk1/ljon/jorj/ahl2.html
אהרן	גבר	דמות_מהתנך	tnk1/dmut/dmut/263.html
אהרן אמוזג	אהרן אמוזג	אוסף מאמרים	tnk1/sofrim/amozeg/index.html
או	שורש [= מילת "או", ענינה היות השם או הפועַל הבא אחריה במקום ותחת אשר לפניה, וע' רמב"ן שמות כא]	לשון_המקרא	tnk1/ljon/jorj/aw.html
או-	מילת חיבור	לשון_המקרא	tnk1/ljon/jorj/aw.html
אוב	שורש	לשון_המקרא	tnk1/ljon/jorj/awb.html
אוֹב1	כלי [= בעל אוב זה פיתום כו', סנהדרין סה.]	לשון_המקרא	tnk1/ljon/jorj/awb.html
אוֹב2	כלי קיבול [= נאדות [רק בריבוי "אובות"]]	לשון_המקרא	tnk1/ljon/jorj/awb.html
אוּבל	מקום פרטי [= א' תחת י']	לשון_המקרא	tnk1/ljon/jorj/ybl4.html
אוד	שורש [עם כמה משמעויות שונות]	לשון_המקרא	tnk1/ljon/jorj/awd.html
אוּד	חומר	לשון_המקרא	tnk1/ljon/jorj/awd1.html
אודות האתר	אודות האתר	אוסף מאמרים	tnk1/odot.html
אודם	אבן [= אבן יקרה אדומה - כנראה ruby]	לשון_המקרא	tnk1/ljon/jorj/adm1.html
אַוָּה	רגש	לשון_המקרא	tnk1/ljon/jorj/awh.html
אוהל	מבנה	לשון_המקרא	tnk1/ljon/jorj/ahl1.html
אוהל מועד	אוהל מועד - המשכן שעשו משה ובני ישראל במדבר סיני	אוסף מאמרים	tnk1/kma/qjrim2/mqdj0.html
אוון	מופשט [= אין והבל, שקר ומרמה, שימוש באון (כוח) לרעה]	לשון_המקרא	tnk1/ljon/jorj/awn1.html
אוזל	גבר	דמות_מהתנך	tnk1/dmut/dmut/80.html
אוּזל	פֻעל [= התמדת הליכה בשיירות, רד"ק. ורש"י כתב "מטוה של שיראין". ותרגום "מטוה" = "עזיל", בחילוף א' לע' כמו "גמיאה"="גמיעה", וכך תרגם יונתן "בשירין" כמו "השירים והכלך", כלאים פ"ט [רק בבינוני "מאוזל"]]	לשון_המקרא	tnk1/ljon/jorj/azl.html
אוזני כלב	ביטוי: גוף	לשון_המקרא	tnk1/ljon/jorj/azn1.html#bituy
אוֹח	עוף	לשון_המקרא	tnk1/ljon/jorj/awx.html
אוי	גבר	דמות_מהתנך	tnk1/dmut/dmut/515.html
אוי	שורש [= מילות הקריאה "אוי" ו"אויה" ליגון וצער]	לשון_המקרא	tnk1/ljon/jorj/awy.html
אוי מלך מדין	גבר	דמות_מהתנך	tnk1/dmut/dmut/515.html
אויב	בעל תכונה	לשון_המקרא	tnk1/ljon/jorj/ayb.html
אויבת	בעל תכונה	לשון_המקרא	tnk1/ljon/jorj/ayb.html
אויל	בעל תכונה [= אדם שטחי, שנשאר עם המחשבה הראשונה שעולה בדעתו ואינו מנסה לבדוק אותה לעומק]	לשון_המקרא	tnk1/ljon/jorj/awl.html
אויל מרדך	גבר	דמות_מהתנך	tnk1/dmut/dmut/1203.html
אויל שפתיים	ביטוי: בעל תכונה	לשון_המקרא	tnk1/ljon/jorj/awl.html#bituy
אוכיל	שם מתואר	לשון_המקרא	tnk1/ljon/jorj/akl.html
אוכל	שם מתואר [= כמו מאכל]	לשון_המקרא	tnk1/ljon/jorj/akl.html
אוכל ומאכלים	אוכל	לשון_המקרא	tnk1/ljon/sug/EcmOkl.html
אול	שורש [= ענינו שטחיות, הישארות בדעה הראשונה שעולה במחשבה ללא ניסיון לבדוק אותה לעומק]	לשון_המקרא	tnk1/ljon/jorj/awl.html
אוּל	מופשט	לשון_המקרא	tnk1/ljon/jorj/ayl1.html
אולי-	מילת חיבור	לשון_המקרא	tnk1/ljon/jorj/aly.html
אולם-	מילת חיבור	לשון_המקרא	tnk1/ljon/jorj/alm5.html
אומֵן	בעל תפקיד [= אדם שתפקידו להחזיק את התינוק ולגדל אותו עד שיוכל לעמוד יציב [בינוני של הפועַל "אָמַן"]]	לשון_המקרא	tnk1/ljon/jorj/amn2.html
אומנוֹת	מבנה [= עמודי הסף, שהדלת נשענת עליהם [בתרגום יונתן "סקופיא"]]	לשון_המקרא	tnk1/ljon/jorj/amn3.html
אומנת	בעל תפקיד	לשון_המקרא	tnk1/ljon/jorj/amn2.html
אומץ	אופי	לשון_המקרא	tnk1/ljon/jorj/amc.html
אומר	גבר	דמות_מהתנך	tnk1/dmut/dmut/182.html
און	גבר	דמות_מהתנך	tnk1/dmut/dmut/500.html
אונ	שורש [עם כמה משמעויות שונות]	לשון_המקרא	tnk1/ljon/jorj/awn.html
אוֹן	אופי	לשון_המקרא	tnk1/ljon/jorj/awn2.html
און בן פלת	גבר	דמות_מהתנך	tnk1/dmut/dmut/500.html
אוני	רגש	לשון_המקרא	tnk1/ljon/jorj/awn3.html
אונם	גבר	דמות_מהתנך	tnk1/dmut/dmut/362.html
אונם	גבר	דמות_מהתנך	tnk1/dmut/dmut/867.html
אונם	כמה	דמויות_מהתנך	tnk1/dmut/jm/awnm.html
אונם בן ירחמאל	גבר	דמות_מהתנך	tnk1/dmut/dmut/867.html
אונם בן שובל	גבר	דמות_מהתנך	tnk1/dmut/dmut/362.html
אונן	גבר	דמות_מהתנך	tnk1/dmut/dmut/194.html
אונס	איש שאונס בתולה	מצוות_ארוע	tryg/sug/awns.html
אוסף	מופשט [= אסיפת תבואה]	לשון_המקרא	tnk1/ljon/jorj/asp.html
אוספים	שם מתואר [= "אוסף" בלשון רבים]	לשון_המקרא	tnk1/ljon/jorj/asp.html
אופז	מקום פרטי [= מקום ששם זהב פז]	לשון_המקרא	tnk1/ljon/jorj/apz.html
אופיר	מקום פרטי	לשון_המקרא	tnk1/ljon/jorj/apr2.html
אופל	מראה	לשון_המקרא	tnk1/ljon/jorj/apl.html
אוֹפַן	כלי [= גלגל]	לשון_המקרא	tnk1/ljon/jorj/apn.html
אופר	גבר	דמות_מהתנך	tnk1/dmut/dmut/85.html
אוצ	שורש [= ענינו נחיצה ודחק לפעול מה]	לשון_המקרא	tnk1/ljon/jorj/awc.html
אוצר	שם מתואר [= דבר אשר ייאצר]	לשון_המקרא	tnk1/ljon/jorj/acr.html
אוצר ההפכים	אוצר ההפכים	אוסף מאמרים	tnk1/sofrim/ilanhp/opposites.html
אוּר	מראה [= אור הבא מן האש]	לשון_המקרא	tnk1/ljon/jorj/awr.html
אוֹר[מ]	מופשט [= כמו "חכמה", "שכל"]	לשון_המקרא	tnk1/ljon/jorj/awr.html
אוֹר[ע]	מראה [= כל קרינה אלקטרומגנטית]	לשון_המקרא	tnk1/ljon/jorj/awr.html
אֲוֵרָה	מבנה	לשון_המקרא	tnk1/ljon/jorj/arh2.html
אורה	מראה [= "אור" בלשון נקבה]	לשון_המקרא	tnk1/ljon/jorj/awr.html
אורות	אוכל [= מין ירק שמאיר את העיניים, יומא יח]	לשון_המקרא	tnk1/ljon/jorj/awr.html
אורות מציון - נביאים אחרונים	אורות מציון - נביאים אחרונים	אוסף מאמרים	tnk1/sofrim/mali/nvia.html
אורות מציון - נביאים ראשונים	אורות מציון - נביאים ראשונים	אוסף מאמרים	tnk1/sofrim/mali/nvir.html
אורח חיים	ביטוי: מופשט [= אופן-התנהגות המביא לחיים טובים וארוכים]	לשון_המקרא	tnk1/ljon/jorj/arx.html#bituy
אורחה	קבוצת אדם [= שיירא]	לשון_המקרא	tnk1/ljon/jorj/arx.html
אורי	גבר	דמות_מהתנך	tnk1/dmut/dmut/544.html
אוריה	גבר	דמות_מהתנך	tnk1/dmut/dmut/1086.html
אוריה	גבר	דמות_מהתנך	tnk1/dmut/dmut/1155.html
אוריה	גבר	דמות_מהתנך	tnk1/dmut/dmut/720.html
אוריה	כמה	דמויות_מהתנך	tnk1/dmut/jm/awryh.html
אוריה בן שמעיהו	גבר	דמות_מהתנך	tnk1/dmut/dmut/1155.html
אוריה החתי	גבר	דמות_מהתנך	tnk1/dmut/dmut/720.html
אוריה הכהן	גבר	דמות_מהתנך	tnk1/dmut/dmut/1086.html
אוּרים	כלי [= ע' רש"י ורמב"ן]	לשון_המקרא	tnk1/ljon/jorj/awr.html
אורך	מופשט	לשון_המקרא	tnk1/ljon/jorj/ark1.html
אורך ימים	ביטוי: אופי [= ימים שבהם האדם מספיק לעשות הרבה]	לשון_המקרא	tnk1/ljon/jorj/ark1.html#bituy
