av	av2	bn	sug	kotrt	sdr_bn	sdr_av
421	0	למה תפילין?	טעם		60	0
421	0	תפילין ביד שמאל	טעם		60	0
422	0	למה תפילין?	טעם		60	0
425	0	עמלק לעומת כנען	הגדרה	המצוה מתייחסת לעמים, לא לאנשים; ולכן היא לא נוהגת בימינו כאשר הכנענים כבר לא קיימים כעם	60	0
426	0	השכרת דירות לעכו"ם?	הגדרה		60	0
426	0	מלחמה באלילות?	טעם		60	0
433	0	השירה כתפילה?	הגדרה		60	0
433	0	ריבוי אנפין בתפילה?	הגדרה		60	0
433	0	תפילה וגאולה	הגדרה		60	0
433	0	תפילה כמו שיחה?	הגדרה		60	0
433	0	תפילות על-פי התנ"ך	הגדרה		60	0
434	0	דבקות משולשת	טעם		60	0
475	0	שמיטת חובות ושחרור	טעם		60	0
477	0	שמיטת חובות ושחרור	טעם		60	0
479	0	הלואה - למי?	הגדרה	מטרת ההלוואה - לחדש את היכולת להתפרנס, או למלא מחסור קשה	60	0
480	0	הלואה - למי?	הגדרה	מטרת ההלוואה - לחדש את היכולת להתפרנס, או למלא מחסור קשה	60	0
482	0	הענקה לפי רווחים	הגדרה	הסכום שמעניקים לעבד עומד ביחס ישר לרווחים שהאדון הרוויח בתקופת העבדות, כך שהעבד שותף ברווחים	60	0
488	0	שמחת חג לבודדים	הגדרה	לעזור לבודדים ולנזקקים לעלות לרגל בשמחה	60	0
500	0	ארץ מצרים עצכ"ח	טעם		60	0
510	0	הגדרת איסור כשפים	הגדרה		60	0
511	0	הגדרת איסור כשפים	הגדרה		60	0
512	0	הגדרת איסור כשפים	הגדרה		60	0
515	0	מיהו מת?	הגדרה		60	0
532	0	כנגד יצר הרע	טעם		60	0
542	0	בגדים וסטיות מיניות	טעם		60	0
546	0	זהירות בנכסים	הגדרה		60	0
547	0	זהירות בנכסים	הגדרה		60	0
548	0	האדם מול הבריאה	טעם	האדם אינו אדון העולם אלא שליח של בורא העולם, ולכן התורה מגבילה את זכותו של האדם לשנות את הבריאה	60	0
549	0	האדם מול הבריאה	טעם	האדם אינו אדון העולם אלא שליח של בורא העולם, ולכן התורה מגבילה את זכותו של האדם לשנות את הבריאה	60	0
551	0	האדם מול הבריאה	טעם	האדם אינו אדון העולם אלא שליח של בורא העולם, ולכן התורה מגבילה את זכותו של האדם לשנות את הבריאה	60	0
551	0	טעם שעטנז	טעם		60	0
552	0	הלכות קידושין	הגדרה		60	0
552	0	חיים ביחד לפני החתונה	טעם		60	0
552	0	נגד הפקרות מינית	טעם		60	0
555	0	טעמי העונשים	טעם		60	0
560	0	ממזר?	הגדרה	מהו "ממזר"?	60	0
561	0	לא יבוא מואבי	הגדרה		60	0
561	0	עמלק לעומת כנען	הגדרה	המצוה מתייחסת לעמים, לא לאנשים; ולכן היא לא נוהגת בימינו כאשר העמים הקדומים כבר לא קיימים כעמים	60	0
562	0	עמלק לעומת כנען	הגדרה	המצוה מתייחסת לעמים, לא לאנשים; ולכן היא לא נוהגת בימינו כאשר העמים הקדומים כבר לא קיימים כעמים	60	0
563	0	עמלק לעומת כנען	הגדרה	המצוה מתייחסת לעמים, לא לאנשים; ולכן היא לא נוהגת בימינו כאשר העמים הקדומים כבר לא קיימים כעמים	60	0
564	0	עמלק לעומת כנען	הגדרה	המצוה מתייחסת לעמים, לא לאנשים; ולכן היא לא נוהגת בימינו כאשר העמים הקדומים כבר לא קיימים כעמים	60	0
570	0	איסור קדשה - ראשונים	הגדרה		60	0
570	0	הלכות קידושין	הגדרה		60	0
570	0	חיים ביחד לפני החתונה	טעם		60	0
570	0	נגד הפקרות מינית	טעם		60	0
572	0	הלואה בריבית = שיעבוד	טעם		60	0
572	0	משום ריבית	הגדרה		60	0
572	0	ריבית 0	טעם		60	0
572	0	ריבית לעומת עמלה	הגדרה		60	0
573	0	הלואה בריבית = שיעבוד	טעם	הנכרי לא בחר להיות עבד של ה', ולכן מותר לשעבד אותו לאדם	60	0
576	0	אכילה בשדה הזולת	הגדרה	ההיתר מיועד לפועל, או לכל עובר-אורח	60	0
576	0	ואל כליך לא תיתן	הגדרה	התורה בכלל לא באה להתיר, אלא רק לקבוע גבולות להיתר, אם הוא קיים	60	0
589	1	דין קרובי משפחה משפט עברי	הגדרה		60	0
592	0	מתנות חלשים עצכ"ח	הגדרה		60	0
593	0	מתנות חלשים עצכ"ח	הגדרה		60	0
594	0	טעמי העונשים	טעם		60	0
598	0	ייבום וחליצה עצכ"ח	טעם		60	0
604	0	עמלק לעומת כנען	הגדרה	המצוה מתייחסת לאנשים, לא לעם; ולכן היא נוהגת בכל זמן	60	0
613	0	חובת האישה מישראל	סיווג	לא ברור לי אם גם נשים חייבות במצוה זו	99	0
