bn	av	sug	tarik_hosfa
חלמש	חלמ2	שנ	
גופ	גו	שנ	
שדמ	שÒד	שנ	
גוה1	גו	שנ	
פרשז	פרשÒ	שנ	
פרשדנ	פרש3	שנ	
אית_או_אתנ	את	שנ	
עתד1	עד	שנ	
עצמ1	עצ	שנ	
שÒדה	שÒד	שנ	
עצה2	עצ	שנ	
אלגבש	גבש	שנ	
עת	עד	שנ	
כה	כ	שנ	
כנ1	כ	שנ	
דגה	דג	שנ	
ישמ	שמ	שנ	
שÒדד	שÒד	שנ	
אבנ1	בנ	שנ	
לבנ1	בנ	שנ	
ראמ	רמ	שנ	
רומ	רמ	שנ	
צדה	זד	שנ	
זוד	זד	שנ	
נזד	זד	שנ	
מט	_ט	שנ	
נט	_ט	שנ	
דל	_ל	שנ	
זל	_ל	שנ	
_חצ	_צ	שנ	
א_ב	אב	שנ	
א_ש	אש	שנ	
גז_	ג__	שנ	
גר_	ג__	שנ	
ה__	ה	שנ	
_לע	לע	שנ	
לע_	לע	שנ	
סח_	סח	שנ	
_עה	ע	שנ	
עו_	ע	שנ	
פצ_	פצ	שנ	
צ_ח	צ__	שנ	
רע	ר_	שנ	
רט	ר2	שנ	
רת	ר2	שנ	
רע	ר3	שנ	
רפ	ר3	שנ	
אחד	חד	שנ	
חגג	חג	שנ	
חבב	חב_2	שנ	
חבק	חב_2	שנ	
חבר	חב_2	שנ	
חבש	חב_2	שנ	
חול=חיל3	ח_ל3	שנ	
חבא	חב_1	שנ	
חדד	חד	שנ	
חקק	חק	שנ	
חבה	חב_1	שנ	
יחד	חד	שנ	
חלה1	חל_	שנ	
חלש	חל_	שנ	
יחמ	חמ	שנ	
חממ	חמ	שנ	
חתר	חת	שנ	
חננ	חנ	שנ	
חקה	חק	שנ	
חתת	חת	שנ	
חול=חיל2	ח_ל2	שנ	
חינ	חנ	שנ	
זנק	זנ_	שנ	
המל	המ	שנ	
הימ	המ	שנ	
המה	המ	שנ	
הינ1	הנ	שנ	
הנה1	הנ	שנ	
זככ	זכ	שנ	
זכה	זכ	שנ	
זלל	זל	שנ	
זלזל	זל	שנ	
זמה	זמ	שנ	
הממ	המ	שנ	
זממ	זמ	שנ	
חול=חיל1	ח_ל1	שנ	
זנח	זנ_	שנ	
זנה	זנ_	שנ	
זעה	זע	שנ	
זוע	זע	שנ	
יזע	זע	שנ	
זעק	זע_	שנ	
זעמ	זע_	שנ	
זעפ	זע_	שנ	
זרה	זר2	שנ	
חוב=חיב	ח_ב	שנ	
יזמ	זמ	שנ	
מול2	מל	שנ	
לעז	לע_	שנ	
לעב	לע_	שנ	
לעג	לע_	שנ	
לקק	לק	שנ	
לקט	לק_	שנ	
לקח	לק_	שנ	
מינ	מ_נ	שנ	
מונ	מ_נ	שנ	
מהמהÌ	מהÌ	שנ	
מרר	מר	שנ	
מככ	מכ	שנ	
להב	לה_	שנ	
נמל1	מל	שנ	
מסה	מס1	שנ	
מסס1	מס1	שנ	
מסס2	מס2	שנ	
מצצ=מצ	מצ	שנ	
מצצ	מצ	שנ	
מצה	מצ	שנ	
נהמ	המ	שנ	
מרה1	מר_1	שנ	
ברא1	בר_1	שנ	
מוט	מט	שנ	
כדכד	כד2	שנ	
טוב	טב	שנ	
יטב	טב	שנ	
טמה	טמ	שנ	
טמא	טמ	שנ	
אטמ	טמ	שנ	
טפל	טפ_	שנ	
טפח	טפ_	שנ	
טפפ	טפ_	שנ	
יבב	יב	שנ	
כוח	כ_ח	שנ	
לוע	לע	שנ	
כדד1	כד1	שנ	
להט	לה_	שנ	
כדד2	כד2	שנ	
כדנ=כיד	כד3	שנ	
כיד	כד3	שנ	
אכפ	כפ	שנ	
כפנ	כפ	שנ	
כפפ	כפ	שנ	
לונ=לינ1	ל_נ1	שנ	
לונ=לינ2	ל_נ2	שנ	
לההÌ	להÌ	שנ	
חתכ	חת	שנ	
כלח	כ_ח	שנ	
בוז	בז1	שנ	
אחה1	אח3	שנ	
אהב	אב1	שנ	
בוס	ב_ס	שנ	
בשס	ב_ס	שנ	
באר2	ב_ר	שנ	
בור	ב_ר	שנ	
ביר1	ב_ר	שנ	
בבה=בוב	בב	שנ	
בדל1	בד_	שנ	
ברח1	בר_1	שנ	
בזה	בז1	שנ	
אבה2	אב2	שנ	
בזז	בז2	שנ	
בלל2	בל2	שנ	
בול	בל2	שנ	
יבל	בל2	שנ	
בעה	בע_	שנ	
בעט	בע_	שנ	
בער1	בע_	שנ	
בקק	בק	שנ	
בקבק	בק	שנ	
ברא2	בר_2	שנ	
בדד	בד_	שנ	
יקש	_קש	שנ	
אלל3	לל	שנ	
ילל	לל	שנ	
עלע	_לע	שנ	
בלע	_לע	שנ	
טעה	_עה	שנ	
תעה	_עה	שנ	
לעז	_עז	שנ	
יעז_או_נעז	_עז	שנ	
אוצ	_צ	שנ	
נצב	_צב	שנ	
אחד	אח3	שנ	
יקפ=נקפ	_קפ	שנ	
איד1	אד	שנ	
נקש	_קש	שנ	
סרה	_רה	שנ	
שרה	_רה	שנ	
נתנ	_תנ	שנ	
אוב	א_ב	שנ	
איש	א_ש	שנ	
אנש	א_ש	שנ	
אבב	אב	שנ	
אבה1	אב1	שנ	
עטפ	עט2	שנ	
יצב	_צב	שנ	
דחה	דח	שנ	
גרז	גר_	שנ	
גרר	גר_	שנ	
גרד	גר_	שנ	
גרגר	גר1	שנ	
גור2	גר2	שנ	
יגר	גר2	שנ	
דינ	ד_נ	שנ	
דונ	ד_נ	שנ	
דוש=דיש	ד_ש	שנ	
בוק	בק	שנ	
דהב	דב2	שנ	
גלב	גל_2	שנ	
נדח	דח	שנ	
דכא=דכה	דכ_	שנ	
דלל	דל	שנ	
הוה	ה__	שנ	
היה	ה__	שנ	
הוא	ה__	שנ	
הדד	הד1	שנ	
הדר	הד2	שנ	
הוד	הד2	שנ	
אההÌ	ההÌ	שנ	
דוב=דבב	דב1	שנ	
גוב2	גב2	שנ	
ברח2	בר_2	שנ	
מרד	מר_1	שנ	
ברה	בר_2	שנ	
יבר_או_ברה	בר2	שנ	
ברר	בר2	שנ	
בתק	בת_	שנ	
בתר	בת_	שנ	
גיא	ג_	שנ	
גה	ג_	שנ	
גיח=גוח	ג_ח	שנ	
גננ	גנ	שנ	
גבא	גב2	שנ	
גלע	גל_2	שנ	
גבע2	גב2	שנ	
גהה	גהÌ	שנ	
גזז	גז_	שנ	
גזר	גז_	שנ	
גלל	גל_1	שנ	
גלש	גל_1	שנ	
גלמ	גל_1	שנ	
גלה2	גל_2	שנ	
גלח	גל_2	שנ	
הוי	הו_	שנ	
גיל=גול	ג_ל	שנ	
רחש	רח_	שנ	
ריח1	ר_ח	שנ	
רוח2	ר_ח	שנ	
ירה2	ר1	שנ	
ראה	ר1	שנ	
ראי	ר1	שנ	
רד	ר2	שנ	
רצ	ר3	שנ	
ארב2	רב	שנ	
רבב	רב	שנ	
רעש	רע3	שנ	
ארגמנ	רג_נ	שנ	
קוצ4	קצ2	שנ	
רחפ	רח_	שנ	
ירט	רט	שנ	
רטה	רט	שנ	
רטט	רט	שנ	
רעצ	רע1	שנ	
ירע1	רע1	שנ	
רעע2	רע1	שנ	
רוע1	רע1	שנ	
רוע2	רע2	שנ	
צוח	צ_ח	שנ	
רבה1	רב	שנ	
קלה1	קל1	שנ	
עוה	עו_	שנ	
צחח	צח	שנ	
צחר	צח	שנ	
צאל	צל	שנ	
צלמות	צל	שנ	
צלל1	צל	שנ	
צרר	צר	שנ	
צוק	צק	שנ	
צור	צר	שנ	
צית	צת	שנ	
רצ	ר_	שנ	
לקח	קח	שנ	
קצע	קצ2	שנ	
קלס	קל1	שנ	
קלל1	קל1	שנ	
קלע1	קל2	שנ	
קלקל	קל2	שנ	
קימ	קמ	שנ	
קומ	קמ	שנ	
יקצ	קצ1	שנ	
קוצ1	קצ1	שנ	
קצה	קצ2	שנ	
רעמ	רע3	שנ	
יצת	צת	שנ	
תאה	ת	שנ	
שוע	שע	שנ	
ישע	שע	שנ	
שÒפמ	שÒפ	שנ	
שÒפה	שÒפ	שנ	
שתק	שק	שנ	
שקט	שק	שנ	
שרה2	שר	שנ	
ישר	שר	שנ	
שÒרה	שÒר	שנ	
רעה2	רע2	שנ	
תוה	ת	שנ	
שסה	שס1	שנ	
אות	ת	שנ	
אנת	ת	שנ	
סחב=סחפ	סח	שנ	
נזח=נסח	סח	שנ	
בזר=פזר	זר2	שנ	
יבש	בש	שנ	
בוש	בש	שנ	
בשש	בש	שנ	
בטא=בטה	בט_	שנ	
אדב=דאב	דב2	שנ	
שÒרר	שÒר	שנ	
שÒגב	שÒג	שנ	
רעד	רע3	שנ	
רופ	רפ	שנ	
רפה	רפ	שנ	
רפא1	רפ	שנ	
ירק1	רק2	שנ	
רקק2	רק2	שנ	
רתת	רת	שנ	
ששא	שא	שנ	
נשא	שא	שנ	
שגה	שג	שנ	
שספ	שס2	שנ	
שÒגא=שÒגה	שÒג	שנ	
שסע	שס2	שנ	
