"av","bn","kotrt","sdr_bn","sug"
"עזרה באמצע הדרך","עזרה לזולת","מחאות",111,"מחאות"
"עמים אחרים","מידע ערבי",,60,"מאמר"
"עסקים כשרים","גנבים ברשת","לא להעביר הודעות דואל שמבטיחות כסף קל",60,"דרך"
"עסקים כשרים","הזדמנות עסקית","לא להשתתף ב""הזדמנויות עסקיות"" - שמבטיחות כסף קל על-חשבון תמימותם של אחרים",60,"דרך"
"עסקים כשרים","עסקים כשרים","מחאות",111,"מחאות"
"עסקים כשרים","תלונות צרכנות","לכתוב מחאות ותלונות על סוחרים ונותני-שירותים שפוגעים בצרכנים",60,"דרך"
"ערך האמת","הפקרת צד""ל","לפעול לקיום הברית עם חיילי צד""ל",60,"דרך"
"ערך החיים","אלימות","מניעת אלימות",60,"דרך"
"ערך החיים","ערך החיים","מחאות",111,"מחאות"
"ערך החיים","תאונות דרכים","מניעת תאונות דרכים",60,"דרך"
"ערך החרות","חרות ועבדות","מחאות",111,"מחאות"
"ערך הנישואין הקדום","טהרה חשובה מנישואין","ראיות לכך שטהרת-האישה חשובה יותר מנישואין פורמליים",65,"דרך"
"פדיון שבויים","פדיון שבויים והמצב",,70,"מאמר"
"פניה אחר אלילים","ספר הזוהר","לא להאמין בחלקים מספר הזוהר, שיש בהם חשש אמונה בנברא",60,"דרך"
"צבא המלך","גיוס חובה","לשנות את חוקי הגיוס לצה""ל",60,"דרך"
"קידוש השם","כבוד ה'","מחאות",111,"מחאות"
"קריאה לשלום לערים","שלום בתורה","להילחם על-פי חוקי התורה",60,"דרך"
"ראיית חמץ","פועלים זרים וחמץ","לתרום את החמץ לגויים עניים",60,"דרך"
"רכילות","רכילות","מחאות",111,"מחאות"
"שביתת אדמות בשביעית","אשמת השמיטה",,60,"מאמר"
"שביתת אדמות בשביעית","היתר המכירה",,60,"מאמר"
"שביתת אדמות בשביעית","שמיטה נגד פינוי",,60,"מאמר"
"שופט","השיבה שופטינו","לחדש את בית הדין הגדול",60,"דרך"
"שופט","מערכת המשפט","ללמוד על מערכת המשפט במדינת ישראל, כדי לתקן אותה מבפנים",65,"דרך"
"שכירות","שכירות","מחאות",111,"מחאות"
"שמיטת היבול בשביעית","אשמת השמיטה",,60,"מאמר"
"שמיטת היבול בשביעית","היתר המכירה",,60,"מאמר"
"שמיטת היבול בשביעית","שמיטה נגד פינוי",,60,"מאמר"
